CATEGORY,PRODUCTID,ITEM,IMGSRC,DESCRIPTION,MRP,DISCOUNTEDPRICE
MS,1047,"Fullsleeve Shirt, Teal Blue",MS/ms16.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1099,659
MS,1048,"Fullsleeve Shirt, Red",MS/ms17.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",7499,449
MS,1049,"Fullsleeve Shirt, Sky Blue",MS/ms18.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,179
MS,1050,"Fullsleeve Shirt, Peach",MS/ms19.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1399,979
MS,1051,"Fullsleeve Shirt, Blue",MS/ms20.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1499,749
MS,1052,"Fullsleeve Shirt, Dull Green",MS/ms21.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1099,659
MS,1053,"Fullsleeve Shirt, Light Brown",MS/ms22.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,489
MS,1054,"Fullsleeve Shirt, Deep Blue",MS/ms23.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",999,549
MS,1055,"Fullsleeve Shirt, Sea Blue",MS/ms24.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,359
MS,1056,"Halfsleeve Shirt, Brown",MS/ms25.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",549,329
MS,1057,"Casual Shirt, Black",MS/ms26.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,779
MS,1058,"Casual Shirt, Light Blue",MS/ms27.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",5490,3568
MS,1059,"Casual Shirt, Blue Checks",MS/ms28.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1430,1001
MS,1060,"Fullsleeve Shirt, Yellow",MS/ms29.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,384
MS,1061,"Halfsleeve Shirt, Olive Green",MS/ms30.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,279
MS,1062,"Casual Shirt, Denim",MS/ms31.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,299
MS,1063,"Casual Shirt, Printed",MS/ms32.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,384
MB,1064,"Denim Jeans, Black",MB/mb1.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1099,659
MB,1065,"Denim Jeans, Dark Blue",MB/mb2.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,559
MB,1066,"Denim Jeans, Faded",MB/mb3.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",865,778
MB,1067,"Denim Jeans, Faded Ripped",MB/mb4.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",949,664
MB,1068,"Denim Jeans, Dark Faded",MB/mb5.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",3599,1979
MB,1069,"Denim Jeans, Dark Blue Faded",MB/mb6.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",549,439
MB,1070,"Denim Jeans, Ripped",MB/mb7.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,649
MB,1071,"Denim Jeans, Black Faded",MB/mb8.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,384
MB,1072,"Denim Jeans, Grey Faded",MB/mb9.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,359
MB,1073,"Denim Jeans, Light Grey",MB/mb10.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",649,519
MB,1074,"Skinny Jeans, Black",MB/mb11.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",949,664
MB,1075,"Straight Jeans, Denim",MB/mb12.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",999,1399
MB,1076,"Trousers, Black",MB/mb13.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1695,1186
MB,1077,"Trousers, Suede",MB/mb14.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,649
MB,1078,"Trousers, Light Brown",MB/mb15.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,909
MB,1079,"Trousers, Dark Grey",MB/mb16.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1099,659
MB,1080,"Cuffed Pants, Camo",MB/mb17.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",7499,449
MB,1081,"Trousers, Brown",MB/mb18.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,179
MB,1082,"Cuffed Trousers, Black",MB/mb19.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1399,979
MB,1083,"Straight Trousers, Dark Grey",MB/mb20.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1499,749
MB,1084,"Formal Trousers, Dark Brown",MB/mb21.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1099,659
MB,1085,"Formal Trousers, Dark Grey",MB/mb22.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,489
MB,1086,"Formal Trousers, Brown",MB/mb23.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",999,549
MB,1087,"Formal Trousers, Black",MB/mb24.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,359
MB,1088,"Formal Trousers, Grey",MB/mb25.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",549,329
MB,1089,"Formal Trousers, Grey Skinny",MB/mb26.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,779
MB,1090,"Formal Trousers, Black Skinny",MB/mb27.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",5490,3568
MB,1091,"Formal Trousers, Black Straight",MB/mb28.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1430,1001
MB,1092,"Chinos, Light Blue",MB/mb29.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,384
MB,1093,"Formal Trousers, Grey Straight",MB/mb30.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,279
MB,1094,"Formal Trousers, Beige",MB/mb31.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,299
MB,1095,"Formal Trousers, Maroon",MB/mb32.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,384
MSP,1096,"Jersey T-Shirt, White",MSPO/ms1.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1099,659
MSP,1097,"Fullsleeve Jersey, Black Piped",MSPO/ms2.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,559
MSP,1098,"Sleeveless Jersey, Black and Red",MSPO/ms3.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",865,778
MSP,1099,"Fullsleeve Jersey, Black",MSPO/ms4.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",949,664
MSP,1100,"Sleeveless Jersey, Blue",MSPO/ms5.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",3599,1979
MSP,1101,"Jersey, Grey",MSPO/ms6.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",549,439
MSP,1102,"Jersey, Dark Brown",MSPO/ms7.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,649
MSP,1103,"Jersey, Orange",MSPO/ms8.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,384
MSP,1104,"Jersey, Blue",MSPO/ms9.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,359
MSP,1105,"Diving T-Shirt, Black ",MSPO/ms10.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",649,519
MSP,1106,"Zipped Joggers, Black",MSPO/ms11.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",949,664
MSP,1107,"Skinny Joggers, Dark Grey",MSPO/ms12.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",999,1399
MSP,1108,"Skinny Joggers, Black",MSPO/ms13.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1695,1186
MSP,1109,"Track Pants, Grey",MSPO/ms14.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,649
MSP,1110,"Track Pants, Black",MSPO/ms15.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,909
MSP,1111,"Track Pants, Dark Grey",MSPO/ms16.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1099,659
MSP,1112,"Skinny Tracks, Dark Grey",MSPO/ms17.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",7499,449
MSP,1113,"Skinny Tracks, Olive Green",MSPO/ms18.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,179
MSP,1114,"Skinny Tracks, Blue",MSPO/ms19.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1399,979
MSP,1115,"Joggers, Black",MSPO/ms20.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1499,749
MSP,1116,"Shorts, Green",MSPO/ms21.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1099,659
MSP,1117,"Shorts, Black",MSPO/ms22.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,489
MSP,1118,"Shorts, Black with Skins",MSPO/ms23.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",999,549
MSP,1119,"Shorts, Dark Blue",MSPO/ms24.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,359
MSP,1120,"Tennis Shorts, Grey",MSPO/ms25.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",549,329
MSP,1121,"Tennis Shorts, Black",MSPO/ms26.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,779
MSP,1122,"Shorts, Black Straight",MSPO/ms27.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",5490,3568
MSP,1123,"Shorts, Grey",MSPO/ms28.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1430,1001
MSP,1124,"Shorts, Printed",MSPO/ms29.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,384
MSP,1125,"Golf Shorts, Olive Green",MSPO/ms30.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,279
MSP,1126,"Track Pants, White",MSPO/ms31.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,299
MSP,1127,"Track Pants, Olive Green",MSPO/ms32.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,384
MA,1128,"Leather Watch, Brown",MA/ma1.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1099,659
MA,1129,"G-Shock, Black",MA/ma2.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,559
MA,1130,"Touch Watch, Black",MA/ma3.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",865,778
MA,1131,"Touch Watch, Steel",MA/ma4.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",949,664
MA,1132,"Steel Watch, Casio",MA/ma5.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",3599,1979
MA,1133,"Leather Watch, Blue",MA/ma6.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",549,439
MA,1134,"Aviators, Blue",MA/ma7.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,649
MA,1135,"Wayfarers, Black",MA/ma8.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,384
MA,1136,"Aviators, Grey",MA/ma9.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",599,359
MA,1137,"Aviators, White",MA/ma10.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",649,519
MA,1138,"Wayfarers, Blue",MA/ma11.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",949,664
MA,1139,Round Sunglasses,MA/ma12.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",999,1399
MA,1140,"Wallet, Beige",MA/ma13.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1695,1186
MA,1141,"Wallet, Black",MA/ma14.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,649
MA,1142,"Wallet, Brown",MA/ma15.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,909
MA,1143,"Wallet, Dark Grey",MA/ma16.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1099,659
MA,1144,"Wallet, Dark Brown",MA/ma17.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",7499,449
MA,1145,"Wallet, Pattern",MA/ma18.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",599,179
MA,1146,"Leather Belt, Dark Brown",MA/ma19.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1399,979
MA,1147,"Leather Belt, Black",MA/ma20.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1499,749
MA,1148,"Belt, Brown",MA/ma21.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1099,659
MA,1149,"Belt, Black",MA/ma22.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,489
MA,1150,"Belt, Orange",MA/ma23.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",999,549
MA,1151,"Belt, Light Brown",MA/ma24.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",599,359
MA,1152,"Cloth Belt, White",MA/ma25.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",549,329
MA,1153,"Nike Cap, Blue",MA/ma26.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,779
MA,1154,"Batman Cap, Black",MA/ma27.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",5490,3568
MA,1155,"Adidas Cap, Black",MA/ma28.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1430,1001
MA,1156,"Cap, Red",MA/ma29.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,384
MA,1157,"Cap, Denim",MA/ma30.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,279
MA,1158,"RF Cap, Black",MA/ma31.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",599,299
MA,1159,"ManU Beanie, Red",MA/ma32.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,384
MF,1160,"Casual Shoes, Black and Blue",MF/mf1.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",1099,659
MF,1161,"Sports Shoes, Black",MF/mf2.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",699,559
MF,1162,"Sports Shoes, Dark Blue",MF/mf3.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",865,778
MF,1163,"Nike Sports Shoes, Blue",MF/mf4.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",949,664
MF,1164,"Sports Shoes, Yellow",MF/mf5.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",3599,1979
MF,1165,"Sports Shoes,  Blue",MF/mf6.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",549,439
MF,1166,"Sports Shoes, Blue and Black",MF/mf7.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",1299,649
MF,1167,"Sports Shoes, Blue and Black",MF/mf8.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",699,384
MF,1168,"Sports Shoes, Blue",MF/mf9.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",599,359
MF,1169,"Sports Shoes, Grey and Red",MF/mf10.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",649,519
MF,1170,"Sports Shoes, Blues",MF/mf11.jpg,"Black and blue casual shoes, lace up, 2cm ankle height, canvas material",949,664
